,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange,currentTimestep,sent_time_ns,recv_time_ns,latency
'1.72',46755489.74526384,8.136883685147223,8.136883685147223,434.40454515534316,434.40454515534316,15067.855882833606,62.04634287791816,,,,
'1.73',47656474.13488872,8.338127211250127,8.338127211250127,442.7426723665933,442.7426723665933,15510.5985552002,61.31497095170205,,,,
'1.74',48560277.55676817,8.542035115502575,8.542035115502575,451.2847074820959,451.2847074820959,15961.883262682297,60.58131068278675,,,,
'1.75',49466327.381892055,8.748549421670576,8.748549421670576,460.03325690376647,460.03325690376647,16421.916519586062,59.84582690140347,,,,
'1.76',50373988.509780824,8.957599781670407,8.957599781670407,468.9908566854369,468.9908566854369,16890.907376271498,59.109035148849486,,,,
'1.77',51282566.88109445,9.169103764851378,9.169103764851378,478.1599604502883,478.1599604502883,17369.067336721786,58.37149882613628,,,,
'1.78',52191313.3866404,9.382967228100775,9.382967228100775,487.54292767838905,487.54292767838905,17856.610264400177,57.63382602086159,,,,
'1.79',53099428.202391036,9.599084775256303,9.599084775256303,497.14201245364535,497.14201245364535,18353.752276853822,56.89666598826941,,,,
'1.80',54006065.57186806,9.817340313189193,9.817340313189193,506.95935276683457,506.95935276683457,18860.711629620655,56.16070526916085,,,,
'1.81',54910339.048131056,10.03760771058361,10.03760771058361,516.9969604774182,516.9969604774182,19377.708590098075,55.426663434722464,,,,
'1.82',55811327.19765422,10.259751563879801,10.259751563879801,527.256712041298,527.256712041298,19904.96530213937,54.695288456417906,,,,
'1.83',56708079.757668376,10.48362807307144,10.48362807307144,537.7403401143695,537.7403401143695,20442.705642253743,53.96735170778029,,,,
'1.84',57599624.227210574,10.709086028062671,10.709086028062671,548.4494261424321,548.4494261424321,20991.155068396176,53.243642614143425,,,,
'1.85',58484972.86032737,10.935967904117103,10.935967904117103,559.3853940465492,559.3853940465492,21550.540462442725,52.5249629759257,,,,
'1.86',59363130.01784046,11.164111062599355,11.164111062599355,570.5495051091485,570.5495051091485,22121.089967551874,51.81212100085196,,,,
'1.87',60233099.82206029,11.393349050759666,11.393349050759666,581.9428541599082,581.9428541599082,22703.032821711782,51.10592509025798,,,,
'1.88',61093894.04712188,11.623512991792369,11.623512991792369,593.5663671517005,593.5663671517005,23296.59918886348,50.40717743412921,,,,
'1.89',61944540.16654457,11.854433053869007,11.854433053869007,605.4208002055695,605.4208002055695,23902.019989069053,49.716667478513386,,,,
'1.90',62784089.46953079,12.085939984372171,12.085939984372171,617.5067401899418,617.5067401899418,24519.526729258996,49.03516533713437,,,,
'1.91',63611625.1487769,12.31786669320977,12.31786669320977,629.8246068831515,629.8246068831515,25149.351336142146,48.36341522613105,,,,
'1.92',64574916.538137294,12.57900573001305,12.57900573001305,642.4036126131646,642.4036126131646,25791.75494875531,47.58146574170411,,,,
'1.93',65430276.84244368,12.822128708336859,12.822128708336859,655.2257413215015,655.2257413215015,26446.980690076813,46.88712905776909,,,,
'1.94',66257110.28845932,13.062563776276114,13.062563776276114,668.2883050977775,668.2883050977775,27115.26899517459,46.21594898291327,,,,
'1.95',67056268.29523918,13.300430822653174,13.300430822653174,681.5887359204307,681.5887359204307,27796.85773109502,45.567234379752435,,,,
'1.96',67828591.5793437,13.53585053165094,13.53585053165094,695.1245864520816,695.1245864520816,28491.982317547103,44.94030279862676,,,,
'1.97',68574916.78451975,13.768945738422579,13.768945738422579,708.8935321905042,708.8935321905042,29200.875849737607,44.334475095973126,,,,
'1.98',69296081.33992335,13.999842477144666,13.999842477144666,722.8933746676488,722.8933746676488,29923.769224405256,43.74907149067435,,,,
'1.99',69992926.7673688,14.22867075293063,14.22867075293063,737.1220454205794,737.1220454205794,30660.891269825835,43.18340887940776,,,,
'1.100',70666300.64275081,14.455565067458682,14.455565067458682,751.5776104880381,751.5776104880381,31412.468880313874,42.63679924446525,,,,
'1.101',71317057.40331459,14.68066472690091,14.68066472690091,766.258275214939,766.258275214939,32178.727155528813,42.108548998453955,,,,
'1.102',71946058.18007116,14.904113959627345,14.904113959627345,781.1623891745663,781.1623891745663,32959.88954470338,41.59795912033252,,,,
'1.103',72554169.822811,15.126061870092768,15.126061870092768,796.288451044659,796.288451044659,33756.17799574804,41.104325946854075,,,,
'1.104',73142263.27346715,15.34666225421658,15.34666225421658,811.6351132988756,811.6351132988756,34567.81310904692,40.62694249298475,,,,
'1.105',73711211.43178004,15.566073300383966,15.566073300383966,827.2011865992596,827.2011865992596,33625.26358086387,40.16510018444526,,,,
'1.106',73410695.44980492,15.603535442144153,15.603535442144153,842.8047220414037,842.8047220414037,34468.068302905274,40.409043315010905,,,,
'1.107',74025729.76795022,15.837365094505904,15.837365094505904,858.6420871359096,858.6420871359096,35326.71039004118,39.909790676307345,,,,
'1.108',74617107.20357935,16.069184800542992,16.069184800542992,874.7112719364526,874.7112719364526,36201.421661977634,39.42974145548023,,,,
'1.109',75186231.26906285,16.299258783916493,16.299258783916493,891.010530720369,891.010530720369,37092.432192698005,38.96775635471516,,,,
'1.110',75734454.48088735,16.527847203728687,16.527847203728687,907.5383779240977,907.5383779240977,37999.9705706221,38.52273747198468,,,,
'1.111',76263078.75707449,16.755206105081506,16.755206105081506,924.2935840291792,924.2935840291792,38924.264154651275,38.09362797844446,,,,
'1.112',76773355.50445332,16.981587299023616,16.981587299023616,941.2751713282029,941.2751713282029,39865.53932597948,37.67941204759007,,,,
'1.113',77266485.52848905,17.207238198067543,17.207238198067543,958.4824095262704,958.4824095262704,40824.021735505754,37.27911492845333,,,,
'1.114',77743618.87346525,17.432401629312167,17.432401629312167,975.9148111555826,975.9148111555826,41799.93654666134,36.89180307533403,,,,
'1.115',78205854.67858641,17.657315643405806,17.657315643405806,993.5721267989884,993.5721267989884,42793.508673460325,36.516584264608284,,,,
'1.116',78654241.1158727,17.882213334123318,17.882213334123318,1011.4543401331117,1011.4543401331117,43804.963013593435,36.15260764514234,,,,
'1.117',79089775.45843346,18.107322680201804,18.107322680201804,1029.5616628133134,1029.5616628133134,44834.52467640675,35.79906368287175,,,,
'1.118',79513404.31271254,18.33286641828069,18.33286641828069,1047.894529231594,1047.894529231594,45882.41920563834,35.455183972276764,,,,
'1.119',79926024.03547104,18.55906195331645,18.55906195331645,1066.4535911849105,1066.4535911849105,46948.87279682325,35.120240897897546,,,,
'1.120',80328481.34547773,18.78612131068266,18.78612131068266,1085.239712495593,1085.239712495593,48034.11250931884,34.793547137796004,,,,
'1.121',80721574.1309723,19.014251132311582,19.014251132311582,1104.2539636279046,1104.2539636279046,49138.36647294674,34.474455008099376,,,,
'1.122',81106052.44679685,19.24365271766921,19.24365271766921,1123.4976163455738,1123.4976163455738,50261.864089292314,34.162355653581145,,,,
'1.123',81482619.689497,19.47452210906508,19.47452210906508,1142.9721384546388,1142.9721384546388,51404.83622774695,33.85667809377552,,,,
'1.124',81851933.93450838,19.70705021976117,19.70705021976117,1162.6791886744,1162.6791886744,52567.51541642135,33.55688813751948,,,,
'1.125',82214609.4166034,19.94142300253933,19.94142300253933,1182.6206116769392,1182.6206116769392,53750.13602809829,33.26248718120366,,,,
'1.126',82571218.13290699,20.177821655790805,20.177821655790805,1202.79843333273,1202.79843333273,54952.934461431025,32.973010907528156,,,,
'1.127',82922291.54684232,20.416422863780713,20.416422863780713,1223.2148561965107,1223.2148561965107,56176.14931762753,32.68802790232864,,,,
'1.128',83268322.37118432,20.6573990674915,20.6573990674915,1243.8722552640022,1243.8722552640022,57420.021572891535,32.407138207186954,,,,
'1.129',83609766.40883596,20.900918762338456,20.900918762338456,1264.7731740263407,1264.7731740263407,58684.794746917876,32.12997182518531,,,,
'1.130',83947044.43087126,21.14714681905549,21.14714681905549,1285.9203208453962,1285.9203208453962,59970.715067763274,31.856187196409426,,,,
'1.131',84280544.07268934,21.39624482414936,21.39624482414936,1307.3165656695455,1307.3165656695455,61278.03163343282,31.585469658749957,,,,
'1.132',84610621.73069248,21.648371436495893,21.648371436495893,1328.9649371060414,1328.9649371060414,62606.99657053887,31.317529908278626,,,,
'1.133',84937604.4436445,21.903682756885,21.903682756885,1350.8686198629264,1350.8686198629264,63957.8651904018,31.052102472060056,,,,
'2.20',43025911.45,5.862798554,5.862798554,124.429581,124.429581,1362.486283,65.07381915,20.0,84879726022400.0,84879730699100.0,4676700.0
'2.21',42307729.153121404,5.764937567525229,5.764937567525229,130.19451856752522,130.19451856752522,1492.6808015675251,65.65680191481405,20.0,,,
'2.22',41890079.61759934,5.731950115366559,5.731950115366559,135.9264686828918,135.9264686828918,1628.6072702504168,65.99582792769006,20.0,,,
'2.23',41766882.57954417,5.763401475479877,5.763401475479877,141.68987015837166,141.68987015837166,1770.2971404087884,66.09583282906692,20.0,,,
'2.24',41330053.13642063,5.727329607796446,5.727329607796446,147.4171997661681,147.4171997661681,1917.7143401749565,66.4504280861259,20.0,,,
'2.25',40892934.08837166,5.690909927678866,5.690909927678866,153.10810969384696,153.10810969384696,2070.8224498688037,66.80525842929137,20.0,,,
'2.26',40458448.05545947,5.654546439192935,5.654546439192935,158.76265613303988,158.76265613303988,2229.5851060018435,67.1579514287087,20.0,,,
'2.27',40029397.28050955,5.618633197352451,5.618633197352451,164.38128933039232,164.38128933039232,2393.966395332236,67.50623237045762,20.0,,,
'2.28',39608449.30137902,5.583552073574016,5.583552073574016,169.96484140396635,169.96484140396635,2563.931236736202,67.84793588705423,20.0,,,
'2.29',39198125.55588668,5.5496708781989925,5.5496708781989925,175.51451228216533,175.51451228216533,2739.4457490183677,68.18101520737173,20.0,,,
'2.30',39101258.69603826,5.584388609126878,5.584388609126878,181.0989008912922,181.0989008912922,2920.5446499096597,68.25964664948067,20.0,,,
'2.31',38707318.30639046,5.552414642432483,5.552414642432483,186.6513155337247,186.6513155337247,3107.1959654433845,68.57942681982412,20.0,,,
'2.32',38330756.98513502,5.522662439066472,5.522662439066472,192.17397797279116,192.17397797279116,3299.369943416176,68.88509957291116,20.0,,,
'2.33',37973526.438197926,5.495443989399599,5.495443989399599,197.66942196219077,197.66942196219077,3497.0393653783667,69.17508061611812,20.0,,,
'2.34',37637407.94242033,5.471052066082909,5.471052066082909,203.14047402827367,203.14047402827367,3700.1798394066404,69.44792400222391,20.0,,,
'2.35',37324015.38238305,5.4497602377396195,5.4497602377396195,208.59023426601328,208.59023426601328,3908.770073672654,69.70231966427495,20.0,,,
'2.36',37034800.01334253,5.431823136191515,5.431823136191515,214.0220574022048,214.0220574022048,4122.792131074859,69.9370895492832,20.0,,,
'2.37',36771056.67792387,5.417476945102395,5.417476945102395,219.43953434730722,219.43953434730722,4342.231665422166,70.15118257184058,20.0,,,
'2.38',36533931.20958182,5.406940077550534,5.406940077550534,224.84647442485775,224.84647442485775,4567.0781398470235,70.3436686043771,20.0,,,
'2.39',36324428.766600296,5.400414010458188,5.400414010458188,230.24688843531592,230.24688843531592,4797.325028282339,70.51373171205664,20.0,,,
'2.40',57506956.215661414,8.588765805871661,8.588765805871661,238.31842200587167,238.31842200587167,5034.202588005872,53.31886565117467,40.0,,,
'2.41',35991664.81977311,5.400121362632081,5.400121362632081,241.04509404281694,241.04509404281694,5274.015095005341,70.78385205106453,20.0,,,
'2.42',35869793.59347716,5.406682151996143,5.406682151996143,246.45177619481308,246.45177619481308,5520.466871200154,70.88278072791263,20.0,,,
'2.43',35778345.53341208,5.417910776805437,5.417910776805437,251.8696869716185,251.8696869716185,5772.336558171773,70.9570134722406,20.0,,,
'2.44',35717764.17392817,5.43393996632848,5.43393996632848,257.303626937947,257.303626937947,6029.64018510972,71.00619024609901,20.0,,,
'2.45',35688409.76258736,5.4548922051264,5.4548922051264,262.7585191430734,262.7585191430734,6292.398704252793,71.0300186193899,20.0,,,
'2.46',35690568.45873593,5.480880904715964,5.480880904715964,268.23940004778933,268.23940004778933,6560.638104300582,71.02826630294751,20.0,,,
'2.47',35724461.09508152,5.512011541029396,5.512011541029396,273.7514115888187,273.7514115888187,6834.389515889401,71.00075403634882,20.0,,,
'2.48',35790251.41995019,5.54838274377187,5.54838274377187,279.2997943325906,279.2997943325906,7113.689310221992,70.94734889728132,20.0,,,
'2.49',35888053.75357681,5.590087325689061,5.590087325689061,284.88988165827965,284.88988165827965,7398.5791918802715,70.86795808656736,20.0,,,
'2.50',36017940.0055777,5.637213241456565,5.637213241456565,290.5270948997362,290.5270948997362,7689.106286780007,70.76252323174769,20.0,,,
'2.51',36179946.012629636,5.689844467374159,5.689844467374159,296.21693936711034,296.21693936711034,7985.323226147118,70.63101524248555,20.0,,,
'2.52',36374077.16535969,5.748061794283576,5.748061794283576,301.9650011613939,301.9650011613939,8287.28822730851,70.47342974295225,20.0,,,
'2.53',36600313.30161385,5.811943527129825,5.811943527129825,307.7769446885237,307.7769446885237,8595.065171997034,70.28978309972818,20.0,,,
'2.54',36858612.849724166,5.8815660853583545,5.8815660853583545,313.6585107738821,313.6585107738821,8908.723682770917,70.08010905851549,20.0,,,
'2.55',37148916.21027762,5.957004498895198,5.957004498895198,319.61551527277726,319.61551527277726,9228.339198043694,69.84445599899537,20.0,,,
'2.56',37471148.3683624,6.038332794809459,6.038332794809459,325.6538480675867,325.6538480675867,9553.99304611128,69.58288481434326,20.0,,,
'2.57',37825220.73050332,6.1256242699251215,6.1256242699251215,331.77947233751183,331.77947233751183,9885.772518448792,69.29546742010105,20.0,,,
'2.58',38211032.18168258,6.218951644653201,6.218951644653201,337.99842398216504,337.99842398216504,10223.770942430956,68.98228589614291,20.0,,,
'2.59',38628469.35816997,6.318387093179358,6.318387093179358,344.3168110753444,344.3168110753444,10568.087753506301,68.64343226520609,20.0,,,
'2.60',39077406.13155638,6.424002144891848,6.424002144891848,350.74081322023625,350.74081322023625,10372.88713839021,68.27900891172538,20.0,,,
