INFO       2022-04-12 14:51:02,975: topic='drag' sending data='{"drag": 0}' as format_msg_with_header(msgToSend)=b'36   drag                     {"drag": 0}'
INFO       2022-04-12 14:51:05,147: topic='drag' sending data='{"drag": 7465977.653429087}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 7465977.653429087}'
INFO       2022-04-12 14:51:05,147: topic='field_update' sending data='{"currentTimestep": 19}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 19}'
DEBUG      2022-04-12 14:51:05,147: Timestep:    18-{'drag': 7465977.653429087}
INFO       2022-04-12 14:51:05,255: topic='drag' sending data='{"drag": 8171451.47514789}' as format_msg_with_header(msgToSend)=b'51   drag                     {"drag": 8171451.47514789}'
INFO       2022-04-12 14:51:05,256: topic='field_update' sending data='{"currentTimestep": 20}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 20}'
DEBUG      2022-04-12 14:51:05,257: Timestep:    19-{'drag': 8171451.47514789}
INFO       2022-04-12 14:51:05,349: topic='drag' sending data='{"drag": 8889633.76611934}' as format_msg_with_header(msgToSend)=b'51   drag                     {"drag": 8889633.76611934}'
INFO       2022-04-12 14:51:05,349: topic='field_update' sending data='{"currentTimestep": 21}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 21}'
DEBUG      2022-04-12 14:51:05,349: Timestep:    20-{'drag': 8889633.76611934}
INFO       2022-04-12 14:51:05,444: topic='drag' sending data='{"drag": 9617323.208385415}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 9617323.208385415}'
INFO       2022-04-12 14:51:05,444: topic='field_update' sending data='{"currentTimestep": 22}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 22}'
DEBUG      2022-04-12 14:51:05,444: Timestep:    21-{'drag': 9617323.208385415}
INFO       2022-04-12 14:51:05,551: topic='drag' sending data='{"drag": 10351353.691514004}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 10351353.691514004}'
INFO       2022-04-12 14:51:05,551: topic='field_update' sending data='{"currentTimestep": 23}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 23}'
DEBUG      2022-04-12 14:51:05,551: Timestep:    22-{'drag': 10351353.691514004}
INFO       2022-04-12 14:51:05,646: topic='drag' sending data='{"drag": 11088619.718663493}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 11088619.718663493}'
INFO       2022-04-12 14:51:05,647: topic='field_update' sending data='{"currentTimestep": 24}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 24}'
DEBUG      2022-04-12 14:51:05,647: Timestep:    24-{'drag': 11088619.718663493}
INFO       2022-04-12 14:51:05,735: topic='drag' sending data='{"drag": 11826099.255010616}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 11826099.255010616}'
INFO       2022-04-12 14:51:05,735: topic='field_update' sending data='{"currentTimestep": 25}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 25}'
DEBUG      2022-04-12 14:51:05,735: Timestep:    24-{'drag': 11826099.255010616}
INFO       2022-04-12 14:51:05,890: topic='drag' sending data='{"drag": 12560873.810445054}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 12560873.810445054}'
INFO       2022-04-12 14:51:05,890: topic='field_update' sending data='{"currentTimestep": 26}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 26}'
DEBUG      2022-04-12 14:51:05,890: Timestep:    25-{'drag': 12560873.810445054}
INFO       2022-04-12 14:51:06,045: topic='drag' sending data='{"drag": 13290145.628340848}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 13290145.628340848}'
INFO       2022-04-12 14:51:06,045: topic='field_update' sending data='{"currentTimestep": 27}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 27}'
DEBUG      2022-04-12 14:51:06,045: Timestep:    26-{'drag': 13290145.628340848}
INFO       2022-04-12 14:51:06,138: topic='drag' sending data='{"drag": 14011251.927912684}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 14011251.927912684}'
INFO       2022-04-12 14:51:06,138: topic='field_update' sending data='{"currentTimestep": 28}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 28}'
DEBUG      2022-04-12 14:51:06,138: Timestep:    27-{'drag': 14011251.927912684}
INFO       2022-04-12 14:51:06,246: topic='drag' sending data='{"drag": 14721676.217083063}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 14721676.217083063}'
INFO       2022-04-12 14:51:06,246: topic='field_update' sending data='{"currentTimestep": 29}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 29}'
DEBUG      2022-04-12 14:51:06,246: Timestep:    28-{'drag': 14721676.217083063}
INFO       2022-04-12 14:51:06,368: topic='drag' sending data='{"drag": 15419056.754360065}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 15419056.754360065}'
INFO       2022-04-12 14:51:06,368: topic='field_update' sending data='{"currentTimestep": 30}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 30}'
DEBUG      2022-04-12 14:51:06,368: Timestep:    29-{'drag': 15419056.754360065}
INFO       2022-04-12 14:51:06,443: topic='drag' sending data='{"drag": 16101192.290891014}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 16101192.290891014}'
INFO       2022-04-12 14:51:06,443: topic='field_update' sending data='{"currentTimestep": 31}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 31}'
DEBUG      2022-04-12 14:51:06,443: Timestep:    30-{'drag': 16101192.290891014}
INFO       2022-04-12 14:51:06,578: topic='drag' sending data='{"drag": 16766045.267046994}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 16766045.267046994}'
