INFO       2022-07-30 22:12:41,844: topic='drag' sending data='{"drag": 0}' as format_msg_with_header(msgToSend)=b'36   drag                     {"drag": 0}'
INFO       2022-07-30 22:12:58,656: topic='field_update' sending data='{"currentTimestep": 44}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 44}'
DEBUG      2022-07-30 22:12:58,657: Timestep:    43-{'drag': 22867753.857981943}
INFO       2022-07-30 22:12:59,122: topic='drag' sending data='{"drag": 23191350.74578056}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 23191350.74578056}'
INFO       2022-07-30 22:12:59,123: topic='field_update' sending data='{"currentTimestep": 45}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 45}'
DEBUG      2022-07-30 22:12:59,125: Timestep:    44-{'drag': 23191350.74578056}
INFO       2022-07-30 22:12:59,760: topic='drag' sending data='{"drag": 23484050.094887048}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 23484050.094887048}'
INFO       2022-07-30 22:12:59,761: topic='field_update' sending data='{"currentTimestep": 46}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 46}'
DEBUG      2022-07-30 22:12:59,762: Timestep:    45-{'drag': 23484050.094887048}
INFO       2022-07-30 22:13:00,226: topic='drag' sending data='{"drag": 23745632.61969813}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 23745632.61969813}'
INFO       2022-07-30 22:13:00,227: topic='field_update' sending data='{"currentTimestep": 47}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 47}'
DEBUG      2022-07-30 22:13:00,228: Timestep:    46-{'drag': 23745632.61969813}
INFO       2022-07-30 22:13:00,567: topic='drag' sending data='{"drag": 23975933.661623504}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 23975933.661623504}'
INFO       2022-07-30 22:13:00,568: topic='field_update' sending data='{"currentTimestep": 48}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 48}'
DEBUG      2022-07-30 22:13:00,569: Timestep:    47-{'drag': 23975933.661623504}
INFO       2022-07-30 22:13:00,922: topic='drag' sending data='{"drag": 24174835.91409599}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 24174835.91409599}'
INFO       2022-07-30 22:13:00,923: topic='field_update' sending data='{"currentTimestep": 49}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 49}'
DEBUG      2022-07-30 22:13:00,924: Timestep:    48-{'drag': 24174835.91409599}
